start,end,total,start: 21:36:34 GMT+0200 (czas środkowoeuropejski letni),end: 22:37:07 GMT+0200 (czas środkowoeuropejski letni)
76,72926,72850,
72943,145810,72867,
145826,218417,72591,
218433,291013,72580,
291029,363696,72667,
363715,436243,72528,
436263,508785,72522,
508802,581373,72571,
581388,653921,72533,
653936,726402,72466,
726417,798921,72504,
798936,871411,72475,
871426,943942,72516,
943958,1016480,72522,
1016495,1089339,72844,
1089357,1161910,72553,
1161926,1234461,72535,
1234476,1306992,72516,
1307007,1379832,72825,
1379845,1452387,72542,
1452403,1524915,72512,
1525021,1597552,72531,
1597568,1670096,72528,
1670112,1742561,72449,
1742576,1815168,72592,
1815184,1887987,72803,
1888001,1960534,72533,
1960548,2033415,72867,
2033430,2105967,72537,
2105983,2178701,72718,
2178718,2251269,72551,
2251285,2324169,72884,
2324184,2396667,72483,
2396682,2469218,72536,
2469255,2541774,72519,
2541790,2614309,72519,
2614324,2686818,72494,
2686832,2759769,72937,
2759785,2832348,72563,
2832364,2904847,72483,
2904863,2977775,72912,
2977792,3050320,72528,
3050336,3123222,72886,
3123237,3196034,72797,
3196051,3268804,72753,
3268820,3341589,72769,
3341605,3414394,72789,
3414420,3487278,72858,
3487294,3560079,72785,
3560093,3633220,73127,
