start,end,total,start: 09:44:15 GMT+0200 (czas środkowoeuropejski letni),end: 09:51:11 GMT+0200 (czas środkowoeuropejski letni)
63,8402,8339,
8407,16441,8034,
16446,24481,8035,
24485,32513,8028,
32516,40676,8160,
40679,49270,8591,
49273,57797,8524,
57799,66150,8351,
66157,74468,8311,
74474,82802,8328,
82809,91111,8302,
91118,99413,8295,
99415,107690,8275,
107696,116290,8594,
116292,124597,8305,
124611,132944,8333,
132951,141286,8335,
141290,149616,8326,
149619,157917,8298,
157920,166216,8296,
166219,174510,8291,
174516,182802,8286,
182804,191092,8288,
191094,199395,8301,
199400,207736,8336,
207742,216050,8308,
216052,224374,8322,
224375,232674,8299,
232679,240968,8289,
240972,249268,8296,
249270,257583,8313,
257586,265931,8345,
265938,274259,8321,
274263,282571,8308,
282583,290882,8299,
290886,299224,8338,
299226,307524,8298,
307529,315834,8305,
315844,324149,8305,
324155,332495,8340,
332498,340823,8325,
340838,349152,8314,
349158,357469,8311,
357475,365786,8311,
365790,374114,8324,
374115,382439,8324,
382441,390745,8304,
390761,399072,8311,
399077,407380,8303,
407381,415686,8305,
