start,end,total,start: 10:41:47 GMT+0200 (czas środkowoeuropejski letni),end: 10:58:27 GMT+0200 (czas środkowoeuropejski letni)
56,18962,18906,
18971,39311,20340,
39313,59460,20147,
59461,79529,20068,
79536,99553,20017,
99555,120058,20503,
120061,140088,20027,
140090,160146,20056,
160148,180198,20050,
180200,200234,20034,
200237,220366,20129,
220369,240530,20161,
240532,260631,20099,
260633,280653,20020,
280657,300678,20021,
300681,320777,20096,
320784,340702,19918,
340704,360755,20051,
360757,380867,20110,
380874,400902,20028,
400904,420921,20017,
420922,440880,19958,
440882,460921,20039,
460923,480975,20052,
480977,500909,19932,
500910,520929,20019,
520937,541078,20141,
541080,561112,20032,
561114,581072,19958,
581074,601219,20145,
601267,621153,19886,
621155,641123,19968,
641124,661163,20039,
661164,681169,20005,
681171,701252,20081,
701254,721281,20027,
721285,741290,20005,
741293,761426,20133,
761427,781507,20080,
781509,801620,20111,
801622,821558,19936,
821560,841581,20021,
841598,860228,18630,
860229,880320,20091,
880323,900354,20031,
900355,920353,19998,
920355,940319,19964,
940322,960536,20214,
960538,980650,20112,
980652,1000671,20019,
