start,end,total,start: 16:03:48 GMT+0200 (czas środkowoeuropejski letni),end: 16:34:52 GMT+0200 (czas środkowoeuropejski letni)
94,37837,37743,
37841,75066,37225,
75070,112303,37233,
112308,149951,37643,
149954,187163,37209,
187167,224335,37168,
224339,261559,37220,
261565,298781,37216,
298785,335986,37201,
335991,373178,37187,
373181,410325,37144,
410330,447499,37169,
447503,484774,37271,
484778,521962,37184,
521967,559164,37197,
559168,596556,37388,
596561,633701,37140,
633705,670885,37180,
670889,708028,37139,
708032,745186,37154,
745190,782395,37205,
782399,819556,37157,
819561,856945,37384,
856949,894142,37193,
894146,931285,37139,
931290,968466,37176,
968472,1005637,37165,
1005640,1042947,37307,
1042951,1080140,37189,
1080144,1117428,37284,
1117433,1154570,37137,
1154574,1191893,37319,
1191898,1229096,37198,
1229101,1266387,37286,
1266392,1303695,37303,
1303700,1340862,37162,
1340867,1378045,37178,
1378049,1415209,37160,
1415213,1452365,37152,
1452370,1489566,37196,
1489570,1526783,37213,
1526787,1564088,37301,
1564093,1601430,37337,
1601433,1638760,37327,
1638765,1676261,37496,
1676265,1713961,37696,
1713966,1751536,37570,
1751541,1788971,37430,
1788972,1826449,37477,
1826454,1863961,37507,
